word_1,word_2,Score
direction,combination,2.25
start,match,4.47
hospital,infrastructure,4.63
century,year,7.59
gem,jewel,8.96
life,term,4.5
development,issue,3.97
opera,performance,6.88
student,professor,6.81
stock,life,0.92
cup,article,2.4
investigation,effort,4.59
Arafat,Jackson,2.5
Mars,water,2.94
computer,news,4.47
street,block,6.88
murder,manslaughter,8.53
cup,entity,2.15
peace,atmosphere,3.69
phone,equipment,7.13
planet,sun,8.02
stock,egg,1.81
money,currency,9.04
dollar,yen,7.78
announcement,effort,2.75
calculation,computation,8.44
sign,recess,2.38
ministry,culture,4.69
media,gain,2.88
opera,industry,2.63
listing,proximity,2.56
psychology,science,6.71
cup,substance,1.92
tiger,animal,7.0
tiger,feline,8.0
bird,cock,7.1
king,queen,8.58
profit,loss,7.63
school,center,3.44
journey,voyage,9.29
shower,thunderstorm,6.31
cell,phone,7.81
dividend,payment,7.63
physics,chemistry,7.35
street,children,4.94
train,car,6.31
announcement,production,3.38
volunteer,motto,2.56
drink,mother,2.65
morality,marriage,3.69
reason,hypertension,2.31
problem,airport,2.38
king,cabbage,0.23
smart,stupid,5.81
viewer,serial,2.97
consumer,confidence,4.13
magician,wizard,9.02
mile,kilometer,8.66
bird,crane,7.38
precedent,information,3.85
president,medal,3.0
stock,CD,1.31
travel,activity,5.0
psychology,psychiatry,8.08
coast,forest,3.15
midday,noon,9.29
precedent,cognition,2.81
aluminum,metal,7.83
money,operation,3.31
tiger,carnivore,7.08
board,recommendation,4.47
rooster,voyage,0.62
jaguar,cat,7.42
boy,lad,8.83
cup,food,5.0
jaguar,car,7.27
cup,tableware,6.85
space,chemistry,4.88
cup,artifact,2.92
attempt,peace,4.25
football,basketball,6.81
delay,news,3.31
month,hotel,1.81
situation,isolation,3.88
line,insurance,2.69
cup,object,3.69
focus,life,4.06
doctor,personnel,5.0
lobster,food,7.81
precedent,collection,2.5
Harvard,Yale,8.13
food,rooster,4.42
Mexico,Brazil,7.44
tiger,cat,7.35
man,governor,5.25
glass,metal,5.56
media,trading,3.88
consumer,energy,4.75
planet,star,8.45
professor,doctor,6.62
plane,car,5.77
image,surface,4.56
five,month,3.38
delay,racism,1.19
governor,interview,3.25
population,development,3.75
skin,eye,6.22
lad,brother,4.46
journal,association,4.97
museum,theater,7.19
monk,slave,0.92
prejudice,recognition,3.0
media,radio,7.42
sugar,approach,0.88
century,nation,3.16
car,flight,4.94
food,fruit,7.52
monk,oracle,5.0
fuck,sex,9.44
benchmark,index,4.25
man,woman,8.3
tiger,organism,4.77
coast,shore,9.1
tiger,mammal,6.85
championship,tournament,8.36
announcement,news,7.56
street,place,6.44
football,soccer,9.03
production,hike,1.75
lobster,wine,5.7
minority,peace,3.69
deployment,departure,4.25
street,avenue,8.88
peace,plan,4.75
bishop,rabbi,6.69
shore,woodland,3.08
vodka,gin,8.46
type,kind,8.97
vodka,brandy,8.13
glass,magician,2.08
energy,secretary,1.81
tiger,fauna,5.62
stock,jaguar,0.92
television,radio,6.77
money,dollar,8.42
word,similarity,4.75
seafood,lobster,8.7
cemetery,woodland,2.08
wood,forest,7.73
king,rook,5.92
